anime_key,anime_id,anime_title,status,rating,airing,aired_from,aired_to,is_current,current_as_of,expired
1517,20945,Iron Kid,Finished Airing,G - All Ages,False,2006-04-06,2006-09-28,True,2022-03-11,
1518,20951,DPR Special Movie,Finished Airing,G - All Ages,False,2013-10-17,,True,2022-03-11,
1519,20955,Peeping Life: YouTuber-kun,Finished Airing,G - All Ages,False,2013-08-08,2013-08-29,True,2022-03-11,
1520,20961,Parol no Miraijima,Finished Airing,PG - Children,False,2014-03-01,,True,2022-03-11,
1521,20963,Shimajirou to Kujira no Uta,Finished Airing,G - All Ages,False,2014-03-14,,True,2022-03-11,
1522,20965,Wonder Garden,Finished Airing,PG - Children,False,2013-10-19,,True,2022-03-11,
1523,20969,Tezuka Osamu no Buddha: Owarinaki Tabi,Finished Airing,PG-13 - Teens 13 or older,False,2014-02-08,,True,2022-03-11,
1524,20971,Kiniro no Corda: Blue♪Sky,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-06,2014-06-22,True,2022-03-11,
1525,20973,Sekai Seifuku: Bouryaku no Zvezda,Finished Airing,PG-13 - Teens 13 or older,False,2014-01-12,2014-03-30,True,2022-03-11,
1526,20975,Seisenshi Dunbine Memorial,Finished Airing,PG-13 - Teens 13 or older,False,2000-08-25,,True,2022-03-11,
1527,20977,Tonari no Seki-kun OVA,Finished Airing,G - All Ages,False,2014-01-04,,True,2022-03-11,
1528,20987,Yoza-Quar!,Finished Airing,PG-13 - Teens 13 or older,False,2013-12-18,2014-05-21,True,2022-03-11,
1529,20999,Mini Van Special,Finished Airing,PG-13 - Teens 13 or older,False,2013-06-18,,True,2022-03-11,
1530,21009,Sekai de Ichiban Tsuyoku Naritai! Specials,Finished Airing,R+ - Mild Nudity,False,2013-12-12,2014-05-12,True,2022-03-11,
1531,21013,Marvel Disk Wars: The Avengers,Finished Airing,PG - Children,False,2014-04-02,2015-03-25,True,2022-03-11,
1532,21019,Noonbory,Finished Airing,PG - Children,False,2009-09-19,2009-12-12,True,2022-03-11,
1533,21021,Juugo Shounen Hyouryuuki: Kaizokujima de! Daibouken,Finished Airing,G - All Ages,False,2013-11-16,,True,2022-03-11,
1534,21025,Chang,Finished Airing,R - 17+ (violence & profanity),False,2012-11-01,,True,2022-03-11,
1535,21027,Saibi,Finished Airing,R - 17+ (violence & profanity),False,2013-11-21,,True,2022-03-11,
1536,21031,Precure All Stars Movie New Stage 3: Eien no Tomodachi,Finished Airing,G - All Ages,False,2014-03-15,,True,2022-03-11,
1537,21033,Seikoku no Dragonar,Finished Airing,R+ - Mild Nudity,False,2014-04-05,2014-06-21,True,2022-03-11,
1538,21037,Uchuu Icchokusen,Finished Airing,G - All Ages,False,2010-10-05,,True,2022-03-11,
1539,21039,Gatchaman Crowds: Insight,Finished Airing,PG-13 - Teens 13 or older,False,2015-07-05,2015-09-27,True,2022-03-11,
1540,21041,Follow Me,Finished Airing,G - All Ages,False,2012-10-31,,True,2022-03-11,
1541,21053,Ikemen Kyuugo-tai Nurse Angels,Finished Airing,PG-13 - Teens 13 or older,False,2013-04-26,2013-06-28,True,2022-03-11,
1542,21055,Mission School,Finished Airing,G - All Ages,False,2006-11-22,,True,2022-03-11,
1543,21065,Yakusoku (ONA),Finished Airing,G - All Ages,False,2013-08-13,,True,2022-03-11,
1544,21067,Strange+,Finished Airing,PG-13 - Teens 13 or older,False,2014-01-10,2014-03-28,True,2022-03-11,
1545,21073,Puchimas!!: Petit Petit iDOLM@STER,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-01,2014-06-30,True,2022-03-11,
1546,21075,Hetalia: The Beautiful World Extra Disc,Finished Airing,PG-13 - Teens 13 or older,False,2014-02-26,,True,2022-03-11,
1547,21077,Kakumeiki Valvrave Recaps,Finished Airing,R - 17+ (violence & profanity),False,2013-09-20,2013-09-22,True,2022-03-11,
1548,21081,Yu Bang Xiang Zheng,Finished Airing,G - All Ages,False,1984-02-01,,True,2022-03-11,
1549,21085,Witch Craft Works,Finished Airing,PG-13 - Teens 13 or older,False,2014-01-05,2014-03-23,True,2022-03-11,
1550,21089,Lost Forest,Finished Airing,G - All Ages,False,2012-01-09,,True,2022-03-11,
1551,21099,Kenji no Trunk,Finished Airing,PG - Children,False,1996-08-24,,True,2022-03-11,
1552,21101,Katta-kun Monogatari,Finished Airing,PG - Children,False,1995-07-12,,True,2022-03-11,
1553,21103,Utopia,Finished Airing,PG-13 - Teens 13 or older,False,2014-02-26,,True,2022-03-11,
1554,21105,Love Stage!!,Finished Airing,PG-13 - Teens 13 or older,False,2014-07-10,2014-09-11,True,2022-03-11,
1555,21107,Buddy Spirits,Finished Airing,G - All Ages,False,2013-09-03,,True,2022-03-11,
1556,21121,Heart Cocktail Again,Finished Airing,PG-13 - Teens 13 or older,False,2003-10-22,,True,2022-03-11,
1557,21129,Youtai Nuhai Zai Shanghai,Finished Airing,PG - Children,False,2010-05-01,,True,2022-03-11,
1558,21161,Wansa-kun OVA,Finished Airing,PG - Children,False,1974-01-01,,True,2022-03-11,
1559,21163,Oni no Ko to Yuki Usagi,Finished Airing,PG - Children,False,1995-01-01,,True,2022-03-11,
1560,21167,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-10,2014-06-26,True,2022-03-11,
1561,21177,Nobunaga the Fool,Finished Airing,R - 17+ (violence & profanity),False,2014-01-06,2014-06-23,True,2022-03-11,
1562,21179,Dragon Fist,Finished Airing,PG-13 - Teens 13 or older,False,1991-03-20,,True,2022-03-11,
1563,21185,Baby Steps,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-06,2014-09-21,True,2022-03-11,
1564,21189,"Wake Up, Girls! Shichinin no Idol",Finished Airing,PG-13 - Teens 13 or older,False,2014-01-10,,True,2022-03-11,
1565,21195,Soul Eater: Late Night Show,Finished Airing,PG-13 - Teens 13 or older,False,2008-04-01,2009-03-01,True,2022-03-11,
1566,21201,Teekyuu 2 Specials,Finished Airing,PG-13 - Teens 13 or older,False,2013-10-25,,True,2022-03-11,
1567,21215,Zettai Shougeki: Platonic Heart Picture Drama,Finished Airing,R+ - Mild Nudity,False,2008-11-27,2009-02-25,True,2022-03-11,
1568,21235,Imanara Maniau! Log Horizon,Finished Airing,PG-13 - Teens 13 or older,False,2013-11-11,,True,2022-03-11,
1569,21241,Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,Finished Airing,PG-13 - Teens 13 or older,False,2013-11-18,2014-07-02,True,2022-03-11,
1570,21255,Takarajima (Movie),Finished Airing,PG - Children,False,1987-05-09,,True,2022-03-11,
1571,21267,Go! Go! 575,Finished Airing,PG-13 - Teens 13 or older,False,2014-01-10,2014-01-31,True,2022-03-11,
1572,21273,Gochuumon wa Usagi Desu ka?,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-10,2014-06-26,True,2022-03-11,
1573,21275,Yawaraka Sensha,Finished Airing,G - All Ages,False,2005-12-01,2011-11-01,True,2022-03-11,
1574,21277,Yawaraka Atom,Finished Airing,G - All Ages,False,2007-10-01,2008-10-01,True,2022-03-11,
1575,21291,Sore Ike! Anpanman: Minami no Umi wo Sukue!,Finished Airing,PG - Children,False,1990-08-26,,True,2022-03-11,
1576,21293,Sore Ike! Anpanman: Shabondama no Purun,Finished Airing,PG - Children,False,2007-07-14,,True,2022-03-11,
1577,21295,Sore Ike! Anpanman: Tenohira wo Taiyou ni,Finished Airing,PG - Children,False,1998-07-25,,True,2022-03-11,
1578,21297,Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman,Finished Airing,PG - Children,False,2000-07-29,,True,2022-03-11,
1579,21305,Trick or Alice,Finished Airing,R+ - Mild Nudity,False,2016-12-22,,True,2022-03-11,
1580,21325,Pupipo!,Finished Airing,PG - Children,False,2013-12-21,2014-03-29,True,2022-03-11,
1581,21327,Isshuukan Friends.,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-07,2014-06-23,True,2022-03-11,
1582,21329,Mushishi: Hihamukage,Finished Airing,PG-13 - Teens 13 or older,False,2014-01-04,,True,2022-03-11,
1583,21333,Kazoku no Hanashi,Finished Airing,G - All Ages,False,2013-11-16,,True,2022-03-11,
1584,21335,Double Circle,Finished Airing,PG-13 - Teens 13 or older,False,2013-12-19,2014-09-26,True,2022-03-11,
1585,21339,Psycho-Pass Movie,Finished Airing,R - 17+ (violence & profanity),False,2015-01-09,,True,2022-03-11,
1586,21353,Tokyo ESP,Finished Airing,R - 17+ (violence & profanity),False,2014-07-12,2014-09-27,True,2022-03-11,
1587,21373,Freezing Vibration Specials,Finished Airing,R+ - Mild Nudity,False,2013-12-25,2014-05-28,True,2022-03-11,
1588,21395,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,Finished Airing,G - All Ages,False,2014-04-19,,True,2022-03-11,
1589,21405,Bokura wa Minna Kawai-sou,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-04,2014-06-20,True,2022-03-11,
1590,21407,Happiness Charge Precure!,Finished Airing,G - All Ages,False,2014-02-02,2015-01-25,True,2022-03-11,
1591,21409,The iDOLM@STER Cinderella Girls 2nd Anniversary PV,Finished Airing,PG-13 - Teens 13 or older,False,2013-11-28,,True,2022-03-11,
1592,21415,Machine-Doll wa Kizutsukanai Specials,Finished Airing,R+ - Mild Nudity,False,2013-12-25,2014-05-28,True,2022-03-11,
1593,21419,Detective Conan Movie 18: The Sniper from Another Dimension,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-19,,True,2022-03-11,
1594,21421,Mahou Shoujo Taisen,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-08,2014-09-30,True,2022-03-11,
1595,21427,Minna Atsumare! Falcom Gakuen,Finished Airing,PG-13 - Teens 13 or older,False,2014-01-05,2014-03-30,True,2022-03-11,
1596,21431,Gokukoku no Brynhildr,Finished Airing,R+ - Mild Nudity,False,2014-04-06,2014-06-29,True,2022-03-11,
1597,21433,Chou Zenmairobo: Patrasche,Finished Airing,G - All Ages,False,2013-12-07,2014-03-15,True,2022-03-11,
1598,21435,Yama no Susume Second Season,Finished Airing,PG-13 - Teens 13 or older,False,2014-07-09,2014-12-24,True,2022-03-11,
1599,21437,Buddy Complex,Finished Airing,PG-13 - Teens 13 or older,False,2014-01-06,2014-03-31,True,2022-03-11,
1600,21439,Uta no☆Prince-sama♪ Maji Love Revolutions,Finished Airing,PG-13 - Teens 13 or older,False,2015-04-05,2015-06-28,True,2022-03-11,
1601,21441,Taisei Kensetsu: Sri Lanka Kousokudouro,Finished Airing,G - All Ages,False,2013-12-01,,True,2022-03-11,
1602,21447,Meitantei Rascal,Finished Airing,PG - Children,False,2014-01-09,2014-03-27,True,2022-03-11,
1603,21451,Nihonbashi Koukashita R Keikaku,Finished Airing,G - All Ages,False,2012-04-04,,True,2022-03-11,
1604,21467,Ikkyuu-san to Yancha Hime,Finished Airing,G - All Ages,False,1978-03-18,,True,2022-03-11,
1605,21469,Stand By Me Doraemon,Finished Airing,PG - Children,False,2014-08-08,,True,2022-03-11,
1606,21471,Mirai Koushi Harima SACLA,Finished Airing,G - All Ages,False,2013-12-03,,True,2022-03-11,
1607,21473,Persona 3 the Movie 2: Midsummer Knight's Dream,Finished Airing,R - 17+ (violence & profanity),False,2014-06-07,,True,2022-03-11,
1608,21475,Ikkyuu-san: Haru Da! Yancha Hime,Finished Airing,G - All Ages,False,1981-03-14,,True,2022-03-11,
1609,21479,Metal Fight Beyblade Zero G Specials,Finished Airing,PG - Children,False,2013-08-27,2013-09-25,True,2022-03-11,
1610,21483,Sanchoume no Yuuhi,Finished Airing,G - All Ages,False,1990-10-12,1991-09-21,True,2022-03-11,
1611,21485,Dokkan! Robotendon,Finished Airing,PG - Children,False,1995-10-05,1996-03-28,True,2022-03-11,
1612,21487,Shin Dokonjou Gaeru,Finished Airing,G - All Ages,False,1981-09-07,1982-03-29,True,2022-03-11,
1613,21489,Shin Dokonjou Gaeru: Dokonjou Yumemakura,Finished Airing,G - All Ages,False,1982-03-20,,True,2022-03-11,
1614,21491,Ninjaman Ippei,Finished Airing,G - All Ages,False,1982-10-04,1982-12-27,True,2022-03-11,
1615,21493,Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki,Finished Airing,G - All Ages,False,1982-03-13,,True,2022-03-11,
1616,21495,Denpa Kyoushi,Finished Airing,PG-13 - Teens 13 or older,False,2012-10-02,2013-02-17,True,2022-03-11,
1617,21497,Sengoku Musou SP: Sanada no Shou,Finished Airing,PG-13 - Teens 13 or older,False,2014-03-21,,True,2022-03-11,
1618,21507,Soul Eater NOT!,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-09,2014-07-02,True,2022-03-11,
1619,21509,Trip Trek (2010),Finished Airing,G - All Ages,False,2010-11-10,2011-01-26,True,2022-03-11,
1620,21511,Kantai Collection: KanColle,Finished Airing,PG-13 - Teens 13 or older,False,2015-01-08,2015-03-26,True,2022-03-11,
1621,21517,Soratobu Usagi no Yuukai Boushi: Boku Iya Da yo!,Finished Airing,G - All Ages,False,1990-05-21,,True,2022-03-11,
1622,21523,Baku Tech! Bakugan Gachi,Finished Airing,PG - Children,False,2013-04-06,2013-12-28,True,2022-03-11,
1623,21525,Geba Geba Shou Time!,Finished Airing,R+ - Mild Nudity,False,1986-03-21,,True,2022-03-11,
1624,21539,Oraa Guzura Dado,Finished Airing,PG - Children,False,1967-10-07,1968-09-25,True,2022-03-11,
1625,21541,Hentai Ouji to Warawanai Neko.: Henneko BBS,Finished Airing,PG-13 - Teens 13 or older,False,2013-01-02,2013-03-27,True,2022-03-11,
1626,21545,Choubakumatsu Shounen Seiki Takamaru,Finished Airing,PG-13 - Teens 13 or older,False,1991-11-01,1991-12-20,True,2022-03-11,
1627,21547,Shin Choubakumatsu Shounen Seiki Takamaru,Finished Airing,PG-13 - Teens 13 or older,False,1992-11-21,1993-06-20,True,2022-03-11,
1628,21549,Hitotsuboshi-ke no Ultra Baasan,Finished Airing,G - All Ages,False,1982-10-16,1983-01-15,True,2022-03-11,
1629,21551,Kaitei Toshi no Dekiru made,Finished Airing,G - All Ages,False,1969-02-02,,True,2022-03-11,
1630,21553,Asobo Toy-chan,Finished Airing,PG - Children,False,1994-09-05,1996-03-28,True,2022-03-11,
1631,21557,Omoide no Marnie,Finished Airing,G - All Ages,False,2014-07-19,,True,2022-03-11,
1632,21561,Ryuugajou Nanana no Maizoukin (TV),Finished Airing,PG-13 - Teens 13 or older,False,2014-04-11,2014-06-20,True,2022-03-11,
1633,21563,Kamigami no Asobi,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-06,2014-06-22,True,2022-03-11,
1634,21569,Pokemon Movie 17: Hakai no Mayu to Diancie,Finished Airing,PG - Children,False,2014-07-19,,True,2022-03-11,
1635,21571,"Pokemon: Pikachu, Kore Nan no Kagi?",Finished Airing,PG - Children,False,2014-07-19,,True,2022-03-11,
1636,21573,Senki Zesshou Symphogear GX,Finished Airing,PG-13 - Teens 13 or older,False,2015-07-04,2015-09-26,True,2022-03-11,
1637,21575,Koukaku Kidoutai Arise: Ghost in the Shell - Logicoma Specials,Finished Airing,PG-13 - Teens 13 or older,False,2013-07-26,2014-09-24,True,2022-03-11,
1638,21587,Mou Hitotsu no Mirai wo.,Finished Airing,PG-13 - Teens 13 or older,False,2013-12-11,2014-03-13,True,2022-03-11,
1639,21591,Wasure-boshi,Finished Airing,G - All Ages,False,2013-07-03,,True,2022-03-11,
