star_key,star_name,star_detected_disc,star_age,star_metallicity,star_sp_type,star_teff,star_magnetic_field,star_alternate_names,row_current,current_as_of,row_expired_date
3352,Kepler-526,,2.14,0.34,,5894.0,,"2MASS J19503622+4723466, KIC 10290666, KOI-332, WISE J195036.22+472346.4",True,2022-05-01,
3353,2MASS J19465682+4100023,,,-0.18,,6680.0,,5809372,True,2022-05-01,
3354,GJ 849,,,0.22,M3.5V,,,None,True,2022-05-01,
3356,Kepler-1624,,4.47,0.06,,3636.0,,"2MASS J19301917+3722350, KIC 1873513, KOI-4928, WISE J193019.16+372234.7",True,2022-05-01,
3357,OGLE-TR-182,,,0.37,,5924.0,,None,True,2022-05-01,
3358,Kepler-1399,,4.37,-0.03,,5735.0,,"2MASS J19331480+4602301, KIC 9468551, KOI-2980",True,2022-05-01,
3359,Kepler-269,,,0.02,,5847.0,,"2MASS J19205164+4146334, KIC 6359320, KOI-1127, WISE J192051.63+414633.6",True,2022-05-01,
3339,2MASS J18504142+4347179,,,-0.12,,5349.0,,7939761,False,2022-05-01,2022-06-08
3323,tau Boo A,,2.52,0.28,F7 V,6309.0,,tau Boo,False,2022-05-01,2022-07-07
3355,TOI-2669,,5.9,0.1,,4800.0,,None,False,2022-05-01,2022-07-22
3360,HD 219828,,5.8,0.19,G0IV,5891.0,,None,True,2022-05-01,
3361,HD 23596,,6.89,0.32,F8,5888.0,,None,True,2022-05-01,
3362,Kepler-14,,2.2,0.12,F,6395.0,,"Kepler-14, 2MASS J19105011+4719589, KIC 10264660, KOI-98, TYC 3546-00413-1, WISE J191050.10+471958.8",True,2022-05-01,
3363,PSR J0636,,,,PSR,,,PSR J0636+5129,True,2022-05-01,
3364,Kepler-172,,,0.012,,5526.0,,"2MASS J18532841+4149186, KIC 6422155, KOI-510, WISE J185328.40+414919.0",True,2022-05-01,
3365,NLTT 25473,,,,DA,18500.0,,"2MASS J10501081-1404365, 1RXS J105010.3-140431, LP 731-60",True,2022-05-01,
3366,HD 5433,,,,G5,,,None,True,2022-05-01,
3367,2MASS J19205664+4328143,,,0.07,,6167.0,,7748487,True,2022-05-01,
3368,WASP-86,,0.8,0.23,F7,6330.0,,"KELT-12, 2MASS J17503372+3634128, TYC 2619-1057-1 ",True,2022-05-01,
3369,2MASS J19152581+4505516,,,-0.08,,5767.0,,8811490,True,2022-05-01,
3370,HD 50499,IR Excess,2.4,0.38,G IV,6099.0,,None,True,2022-05-01,
3371,Kepler-464,,4.9,0.19,,5933.0,,"2MASS J19392044+4858564, KIC 11250587, KOI-107, WISE J193920.42+485856.4",True,2022-05-01,
3372,KELT-15,,,0.047,,6003.0,,None,True,2022-05-01,
3373,K2-136,,,0.15,K5.5,4499.0,,"EPIC 247589423, LP 358-348, K2-136, 2MASS J04293897+2252579, EPIC 247589423 A, K2-136 A, LP 358-348 A, WISE J042939.05+225257.4, WISE J042939.05+225257.4 A",True,2022-05-01,
3374,2MASS J19461716+5040402,,,0.21,,5977.0,,12120943,True,2022-05-01,
3375,EPIC 212499991,,,,,,,"2MASS J13295729-1244051, K2-306, WISE J132957.29-124405.2",True,2022-05-01,
3376,K2-204,,,0.07,,5755.0,,"2MASS J01093180-0031031, EPIC 220186645, WISE J010931.80-003103.7",True,2022-05-01,
3377,Kepler-998,,3.31,0.07,,6058.0,,"2MASS J19470099+4912314, KIC 11413812, KOI-1885, WISE J194700.99+491231.3",True,2022-05-01,
3378,OGLE-2012-BLG-0406L,,,,,,,None,True,2022-05-01,
3379,2MASS J19575248+4049479,,,-0.54,,5675.0,,5651846,True,2022-05-01,
3380,KMT-2016-BLG-1397,,,,,,,None,True,2022-05-01,
3381,OGLE-2014-BLG-1112L,,,,,,,None,True,2022-05-01,
3382,2MASS J19191418+4036570,,,-0.52,,5729.0,,5441980,True,2022-05-01,
3383,HATS-18,,4.2,0.28,G,5600.0,,None,True,2022-05-01,
3384,Kepler-1672,,,-0.46,,5899.25,,"5124667, 2MASS J19514564+4016430, KIC 5124667, KOI-1822, WISE J195145.63+401642.9",True,2022-05-01,
3385,Kepler-1357,,4.57,-0.06,,5597.0,,"2MASS J19261154+5021119, KIC 11963206, KOI-2820, WISE J192611.53+502111.7",True,2022-05-01,
3386,2MASS J19323218+4537367,,,-0.24,,6187.0,,9221528,True,2022-05-01,
3387,PSR J1807-2459 A,,,,PSR,,,None,True,2022-05-01,
