id,title,status,rating,score,favorites,load_date,airing,aired_from,aired_to
38777,Jujutsu Kaisen,Finished Airing,G - All Ages,7.71,1879,2022-03-11,False,2018-12-03,2018-12-08
38778,Midara na Ao-chan wa Benkyou ga Dekinai,Finished Airing,PG-13 - Teens 13 or older,6.75,512,2022-03-11,False,2019-04-06,2019-06-22
38783,Ikebukuro PR Anime,Finished Airing,G - All Ages,6.02,1,2022-03-11,False,2019-01-17,
38784,Ken to Mahou no Logres: Inishie no Megami x Fate/Extella,Finished Airing,G - All Ages,5.62,4,2022-03-11,False,2016-12-07,
38785,Kensaku to Enjin no Happy Birthday,Finished Airing,G - All Ages,,0,2022-03-11,False,2018-06-19,
38786,Kensaku to Enjin no Atarashii Tomodachi: Query Toujou!,Finished Airing,G - All Ages,,0,2022-03-11,False,2018-07-03,
38787,Senryuu Shoujo,Finished Airing,PG-13 - Teens 13 or older,7.4,451,2022-03-11,False,2019-04-06,2019-06-22
38788,Detective Conan: Amuro Secret Call,Finished Airing,PG-13 - Teens 13 or older,6.14,2,2022-03-11,False,2018-10-03,
38789,One Room Second Season Special,Finished Airing,PG-13 - Teens 13 or older,5.65,6,2022-03-11,False,2018-11-30,
38790,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,Finished Airing,PG-13 - Teens 13 or older,7.56,2748,2022-03-11,False,2020-01-08,2020-03-25
38793,Tensei shitara Slime Datta Ken OVA,Finished Airing,PG-13 - Teens 13 or older,7.48,437,2022-03-11,False,2019-07-09,2020-11-27
38794,Summer Rich feat. Hit­o­mi­toi,Finished Airing,PG-13 - Teens 13 or older,,0,2022-03-11,False,2011-10-23,
38795,I Want Nothing,Finished Airing,PG-13 - Teens 13 or older,5.19,1,2022-03-11,False,2008-04-10,
38796,B.O.Y.,Finished Airing,G - All Ages,5.42,1,2022-03-11,False,2014-04-25,
38797,"Papa datte, Shitai",Finished Airing,R+ - Mild Nudity,6.01,96,2022-03-11,False,2019-01-07,2019-02-25
38799,Koukaku Kidoutai: SAC_2045,Finished Airing,R - 17+ (violence & profanity),6.6,54,2022-03-11,False,2020-04-23,
38800,Race Eizou-hen,Finished Airing,G - All Ages,,0,2022-03-11,False,2014-05-07,2015-06-20
38803,Anima Yell! Ouen Douga,Finished Airing,PG-13 - Teens 13 or older,5.65,0,2022-03-11,False,2018-10-07,2018-12-23
38804,Kiratto Pri☆chan Season 2,Finished Airing,PG - Children,7.24,24,2022-03-11,False,2019-04-07,2020-03-29
38805,Holiday Advent Calendar 2018,Finished Airing,G - All Ages,,0,2022-03-11,False,2018-12-09,2018-12-25
38807,Goblin Slayer: Bouken Kiroku Youshi - Adventure Sheet,Finished Airing,R - 17+ (violence & profanity),6.2,25,2022-03-11,False,2018-12-16,
38808,Ok? Alright!,Finished Airing,G - All Ages,5.31,0,2022-03-11,False,2018-10-18,
38809,Black'n White Jammin' Cats,Finished Airing,G - All Ages,5.51,0,2022-03-11,False,2018-12-03,
38810,Bleach: Gotei 13 Omake,Finished Airing,PG-13 - Teens 13 or older,6.49,15,2022-03-11,False,2005-06-12,
38811,Copy,Finished Airing,G - All Ages,5.11,0,2022-03-11,False,2010-12-16,
38812,Botsuraku,Finished Airing,G - All Ages,5.62,0,2022-03-11,False,2018-12-10,
38813,Asayake to Nettaigyo,Finished Airing,G - All Ages,5.35,0,2022-03-11,False,2018-01-07,
38814,Nobunaga-sensei no Osanazuma,Finished Airing,R+ - Mild Nudity,5.3,92,2022-03-11,False,2019-04-06,2019-06-22
38815,Aggressive Retsuko: We Wish You a Metal Christmas,Finished Airing,PG-13 - Teens 13 or older,7.25,22,2022-03-11,False,2018-12-20,
38816,Hello World,Finished Airing,PG-13 - Teens 13 or older,7.53,1113,2022-03-11,False,2019-09-20,
38818,Please! Marry Me!!,Finished Airing,PG - Children,5.58,0,2022-03-11,False,2008-05-21,
38819,Bad! Bad! Bad!,Finished Airing,PG - Children,5.38,0,2022-03-11,False,2008-02-20,
38820,Chibi Godzilla,Currently Airing,G - All Ages,,0,2022-03-11,True,2018-12-12,
38821,Wedding Park,Finished Airing,G - All Ages,,0,2022-03-11,False,2018-12-10,2019-01-08
38824,Baby I Love You Daze,Finished Airing,G - All Ages,7.39,28,2022-03-11,False,2018-12-11,
38826,Tenki no Ko,Finished Airing,PG-13 - Teens 13 or older,8.33,10034,2022-03-11,False,2019-07-19,
38827,Yeastken.,Finished Airing,G - All Ages,,0,2022-03-11,False,2018-12-13,2019-08-20
38828,Ketakuma no DVD,Finished Airing,G - All Ages,,0,2022-03-11,False,2018-11-21,
38830,"Hachi-nan tte, Sore wa Nai deshou!",Finished Airing,PG-13 - Teens 13 or older,6.23,373,2022-03-11,False,2020-04-02,2020-06-18
38835,Umayon,Finished Airing,PG-13 - Teens 13 or older,6.24,8,2022-03-11,False,2020-07-07,2020-09-22
38837,Puso Ni Comi,Finished Airing,PG-13 - Teens 13 or older,6.5,4,2022-03-11,False,2019-01-08,2019-05-21
38843,Shironeko Project: Zero Chronicle,Finished Airing,PG-13 - Teens 13 or older,5.33,174,2022-03-11,False,2020-04-06,2020-06-22
38847,Walls,Finished Airing,G - All Ages,,0,2022-03-11,False,2010-01-01,
38848,Kara no Tamago,Finished Airing,None,,0,2022-03-11,False,2012-01-01,
38849,"Kaibutsu ga, Umareta Hi.",Finished Airing,PG - Children,,0,2022-03-11,False,2017-03-31,
38850,Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,Finished Airing,G - All Ages,7.72,13,2022-03-11,False,2019-10-19,
38851,Virtual-san wa Miteiru,Finished Airing,PG-13 - Teens 13 or older,5.31,16,2022-03-11,False,2019-01-10,2019-03-27
38852,Kawaiku Naritai,Finished Airing,G - All Ages,6.68,2,2022-03-11,False,2017-01-17,
38853,Ex-Arm,Finished Airing,PG-13 - Teens 13 or older,2.95,287,2022-03-11,False,2021-01-11,2021-03-29
38854,Magic-kyun! First Live: Hoshinomori Summer Festa 2017 Encore Animation,Finished Airing,PG-13 - Teens 13 or older,6.54,0,2022-03-11,False,2017-09-20,
38855,Yuu Kiri,Finished Airing,G - All Ages,5.38,0,2022-03-11,False,2015-08-05,
38856,Muddy Water,Finished Airing,G - All Ages,,0,2022-03-11,False,2016-06-07,
38857,Neko no Nyagh: Nya Misérables,Finished Airing,G - All Ages,,0,2022-03-11,False,2019-04-03,2019-09-18
38860,Bakumatsu: Crisis,Finished Airing,PG-13 - Teens 13 or older,5.67,14,2022-03-11,False,2019-04-05,2019-06-21
38861,Hannyashingyou,Finished Airing,None,,0,2022-03-11,False,2010-01-01,
38862,Issunboushi (2007),Finished Airing,R+ - Mild Nudity,,1,2022-03-11,False,2007-01-01,
38863,The Laughing Spider,Finished Airing,R+ - Mild Nudity,5.17,0,2022-03-11,False,2016-01-01,
